deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,2,1,70,0,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,12,5,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,47,6,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,49,162,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,50,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,62,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,3,1,70,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,12,0,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,47,12,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,49,206,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,50,0,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,62,0,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,4,1,70,0,13,SCook,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,12,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,47,11,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,49,91,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,50,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,62,0,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,5,1,70,0,13,AJohnson,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,12,3,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,47,33,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,49,352,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,1,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,12,2,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,47,7,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,49,279,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,2,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,12,8,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,47,36,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,49,523,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,3,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,12,4,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,47,13,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,49,354,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,4,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,12,2,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,47,11,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,49,226,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLN00,exposed,int_mid,tuffy,5,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,12,2,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,47,19,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,49,187,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,1,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,12,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,47,3,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,49,126,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,50,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,2,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,12,3,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,47,7,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,49,88,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,50,0,13,MDuncan,.,
