id,long,lat,order,hole,piece,group,left,top,right,bottom,Segment,Estry,Region,Kdens_md,Kdens_mn,AREA,Kval_md,Kval_mn
395,-124.6345024,42.75522247,54946,FALSE,1,395.1,365286.6387,4735768.112,366441.3392,4734768.112,S6,0,S,0.080761012,0.076790214,0.2279,0.018405,0.0175
4222,-124.5646062,42.87632277,55574,FALSE,1,4222.1,372214.8419,4748768.112,373369.5425,4747768.112,S6,0,S,1.422650099,1.402301997,0.8595,1.222768,1.205279
4223,-124.5643788,42.86732084,55602,FALSE,1,4223.1,372214.8419,4747768.112,373369.5425,4746768.112,S6,0,S,1.586335897,1.526833645,0.8587,1.362187,1.311092
4224,-124.5641515,42.8583189,55622,FALSE,1,4224.1,372214.8419,4746768.112,373369.5425,4745768.112,S6,0,S,1.674552321,1.808907293,0.8524,1.427388,1.541913
4225,-124.5566469,42.84491359,55747,FALSE,1,4225.1,372214.8419,4745768.112,373369.5425,4744768.112,S6,0,S,1.90348208,1.75346049,0.8403,1.599496,1.473433
4226,-124.551792,42.84321978,55911,FALSE,1,4226.1,372214.8419,4744768.112,373369.5425,4743768.112,S6,0,S,0.839957565,0.846446071,0.4642,0.389908,0.39292
4227,-124.5607479,42.83493675,55971,FALSE,1,4227.1,372214.8419,4743768.112,373369.5425,4742768.112,S6,0,S,0.802356929,0.995172195,0.6082,0.487993,0.605264
4228,-124.5632432,42.82231097,56017,FALSE,1,4228.1,372214.8419,4742768.112,373369.5425,4741768.112,S6,0,S,4.312741756,9.831291756,0.8664,3.736559,8.517831
4229,-124.5630164,42.81330895,56024,FALSE,1,4229.1,372214.8419,4741768.112,373369.5425,4740768.112,S6,0,S,5.944279194,5.102968945,0.8664,5.150123,4.421212
4230,-124.5627897,42.80430691,56031,FALSE,1,4230.1,372214.8419,4740768.112,373369.5425,4739768.112,S6,0,S,6.874676704,8.531424287,0.8664,5.95622,7.391626
4231,-124.5625632,42.79530486,56038,FALSE,1,4231.1,372214.8419,4739768.112,373369.5425,4738768.112,S6,0,S,8.799832344,9.948593299,0.8664,7.624175,8.619461
4232,-124.5623367,42.7863028,56045,FALSE,1,4232.1,372214.8419,4738768.112,373369.5425,4737768.112,S6,0,S,2.183440447,2.335688607,0.8664,1.891733,2.023641
4233,-124.5621103,42.77730071,56052,FALSE,1,4233.1,372214.8419,4737768.112,373369.5425,4736768.112,S6,0,S,1.488071322,1.45962829,0.8664,1.289265,1.264622
4234,-124.561884,42.76829862,56059,FALSE,1,4234.1,372214.8419,4736768.112,373369.5425,4735768.112,S6,0,S,1.091364861,1.059363062,0.8664,0.945559,0.917832
4235,-124.5616578,42.75929651,56066,FALSE,1,4235.1,372214.8419,4735768.112,373369.5425,4734768.112,S6,0,S,0.560701072,0.601928982,0.8664,0.485791,0.521511
4236,-124.5614318,42.75029438,56073,FALSE,1,4236.1,372214.8419,4734768.112,373369.5425,4733768.112,S6,0,S,0.455183148,0.453894576,0.8664,0.394371,0.393254
4237,-124.5612058,42.74129224,56080,FALSE,1,4237.1,372214.8419,4733768.112,373369.5425,4732768.112,S6,0,S,0.325036436,0.325956629,0.8664,0.281612,0.282409
4238,-124.5471524,42.73281547,56087,FALSE,1,4238.1,372214.8419,4732768.112,373369.5425,4731768.112,S6,0,S,0.17079059,0.16350217,0.4251,0.072603,0.069505
4702,-124.5466354,42.87656701,57817,FALSE,1,4702.1,373080.8673,4748268.112,374235.5679,4747268.112,S6,0,S,1.565718889,1.562000806,0.8593,1.345422,1.342227
4703,-124.5536676,42.8629642,57844,FALSE,1,4703.1,373080.8673,4747268.112,374235.5679,4746268.112,S6,0,S,1.557255864,1.612073211,0.8664,1.349206,1.3967
4704,-124.5419614,42.85738879,57851,FALSE,1,4704.1,373080.8673,4746268.112,374235.5679,4745268.112,S6,0,S,0.840918273,1.019939904,0.4756,0.399941,0.485083
4705,-124.547949,42.84953408,57933,FALSE,1,4705.1,373080.8673,4745268.112,374235.5679,4744268.112,S6,0,S,0.846575975,0.848046834,0.1062,0.089906,0.090063
4707,-124.5510785,42.82920113,58055,FALSE,1,4707.1,373080.8673,4743268.112,374235.5679,4742268.112,S6,0,S,0.811362237,0.878688607,0.2255,0.182962,0.198144
4708,-124.5440419,42.82257156,58067,FALSE,1,4708.1,373080.8673,4742268.112,374235.5679,4741268.112,S6,0,S,1.863440692,2.573766274,0.8081,1.505846,2.079861
4709,-124.5523148,42.80895199,58077,FALSE,1,4709.1,373080.8673,4741268.112,374235.5679,4740268.112,S6,0,S,4.099439621,4.127347325,0.8664,3.551754,3.575934
4710,-124.5520897,42.7999499,58084,FALSE,1,4710.1,373080.8673,4740268.112,374235.5679,4739268.112,S6,0,S,5.886378765,8.691629802,0.8664,5.099959,7.530428
4711,-124.5518647,42.7909478,58091,FALSE,1,4711.1,373080.8673,4739268.112,374235.5679,4738268.112,S6,0,S,2.267684937,4.53139938,0.8664,1.964722,3.926004
4712,-124.5516398,42.78194568,58098,FALSE,1,4712.1,373080.8673,4738268.112,374235.5679,4737268.112,S6,0,S,1.747937918,1.743889768,0.8664,1.514413,1.510906
4713,-124.551415,42.77294355,58105,FALSE,1,4713.1,373080.8673,4737268.112,374235.5679,4736268.112,S6,0,S,1.511989832,1.508378138,0.8664,1.309988,1.306859
4714,-124.5511903,42.7639414,58112,FALSE,1,4714.1,373080.8673,4736268.112,374235.5679,4735268.112,S6,0,S,1.27689743,1.246555226,0.8664,1.106304,1.080015
4715,-124.5509657,42.75493923,58119,FALSE,1,4715.1,373080.8673,4735268.112,374235.5679,4734268.112,S6,0,S,0.802705348,0.749719539,0.8664,0.695464,0.649557
4716,-124.5507412,42.74593705,58126,FALSE,1,4716.1,373080.8673,4734268.112,374235.5679,4733268.112,S6,0,S,0.502028346,0.544231996,0.8664,0.434957,0.471523
4717,-124.5396501,42.73281523,58133,FALSE,1,4717.1,373080.8673,4733268.112,374235.5679,4732268.112,S6,0,S,0.391420662,0.395687938,0.8664,0.339127,0.342824
5183,-124.5365064,42.8722009,60146,FALSE,1,5183.1,373946.8927,4747768.112,375101.5933,4746768.112,S6,0,S,0.85845381,0.941343597,0.4299,0.369049,0.404684
5184,-124.5375964,42.86318121,60194,FALSE,1,5184.1,373946.8927,4746768.112,375101.5933,4745768.112,S6,0,S,0.835192263,0.83765023,0.1168,0.09755,0.097838
5189,-124.5389321,42.81746338,60389,FALSE,1,5189.1,373946.8927,4741768.112,375101.5933,4740768.112,S6,0,S,0.718843848,0.980953446,0.2585,0.185821,0.253576
