"Lam","br1","br2","wr1","wr2","fs1","fs2","ms1","ms2","Gf","Gm"
1.05,0,1.01190180282572,0,0.675740161401901,0.792572828537465,0.89855258845098,0.765732209624808,0.878322222687651,0.318272727071056,0.308774793081087
1.06,0,1.00850260014341,0,0.702809002458987,0.821085162589908,0.898059980268946,0.808612088424247,0.878815116850325,0.32444881932787,0.320176685361556
1.1,0,1.01090002804059,0,0.742294641651622,0.85846840521229,0.92033011697557,0.784137342893382,0.884319789526057,0.326608673707169,0.301627375608005
1.1,0,1.0053837468711,0,0.765499340343917,0.853685402697724,0.912003480013166,0.819537667440844,0.884616729661314,0.326459006664124,0.315090298587803
1.09,0,1.00687411101797,0,0.767471766379656,0.800953962656465,0.922733478719981,0.802925093691076,0.884907928950487,0.311383258197783,0.312059147725163
1.02,0,1.01356302703416,0,0.647193242895397,0.80045156333633,0.870524704312423,0.763134917115718,0.854646532091937,0.328011520317785,0.314705827612115
1.04,0,1.01146208450586,0,0.651207263132031,0.801209820322,0.888157142828798,0.80174516526784,0.867668001140566,0.323977696341711,0.32416454965032
0.99,0,1.01308884085041,0,0.58963819646427,0.74170908664745,0.866090414401733,0.723564713992569,0.849662792817717,0.315945494211181,0.309127107715848
1.14,0,1.00396679810086,0,0.83030153782393,0.89630808535894,0.923623459128525,0.840075207106349,0.886392419654014,0.330701147233811,0.312637045685479
0.97,0,1.01673966326445,0,0.549297684503069,0.709134056060315,0.858000573604535,0.678530955807784,0.851696627973571,0.310125410679086,0.298134197444731
1.02,0,1.01385406016757,0,0.609558503676462,0.772184901480993,0.888435749770198,0.734574395446301,0.855418524528083,0.318121839620502,0.304402101290495
1.03,0,1.01052577841477,0,0.67061816328235,0.79181221351176,0.875697978376998,0.778567173755866,0.860857083174774,0.323594502622441,0.318893356387388
1.09,0,1.00888660510703,0,0.750529471577278,0.829075123800138,0.918515671914341,0.801511294188443,0.890356670081767,0.319792057646796,0.310449243470486
1.05,0,1.01050218367745,0,0.665950046203432,0.787233221089653,0.897261778847765,0.79466401791323,0.870008369023175,0.317653384457564,0.320263471101336
1.1,0,1.00653490633208,0,0.721341405141032,0.854688852874093,0.918133508121777,0.833408368322859,0.87957680296139,0.327286791963783,0.32023651513927
0.98,0,1.0142080762979,0,0.589598179709557,0.735528600289494,0.856866679964007,0.697268433948554,0.849102652286528,0.316409886633996,0.301779608012834
1.08,0,1.00826947092572,0,0.681669788710822,0.865010537165975,0.905194781937335,0.777022794787846,0.871738349782061,0.334330880848409,0.304524205010176
1.04,0,1.01127783615145,0,0.672309194118431,0.801875245590612,0.888535688769562,0.730044565100588,0.873447830313771,0.323103241840859,0.297363795205763
