move,logmove,Otter,Site,Sex,Ageclass,AgeSex
1.5609165,0.445273149,2,1,0,1,2
0.06550265,-2.725664679,2,1,0,1,2
1.903426,0.64365542,2,1,0,1,2
4.55386455,1.515976224,2,1,0,1,2
9.966712,2.29925074,2,1,0,1,2
15.1313062,2.716765856,2,1,0,1,2
17.5320762,2.864032129,2,1,0,1,2
17.51161735,2.862864509,2,1,0,1,2
7.58778725,2.026540014,2,1,0,1,2
5.98141215,1.788656686,2,1,0,1,2
0.1108345,-2.199717181,3,1,0,1,2
3.05646705,1.11725969,3,1,0,1,2
1.0425085,0.041629828,3,1,0,1,2
0.3015956,-1.198668232,3,1,0,1,2
0.45241525,-0.793154826,3,1,0,1,2
0.15244645,-1.880941892,3,1,0,1,2
4.559322,1.517173928,3,1,0,1,2
1.5693327,0.450650497,3,1,0,1,2
4.02865125,1.393431643,3,1,0,1,2
0.99413135,-0.005885938,3,1,0,1,2
2.5358745,0.930538548,3,1,0,1,2
1.9242481,0.654535294,3,1,0,1,2
1.3864593,0.326753231,3,1,0,1,2
1.9394091,0.662383339,3,1,0,1,2
0.5767458,-0.550353664,3,1,0,1,2
1.931936,0.658522609,3,1,0,1,2
0.4218338,-0.863143881,3,1,0,1,2
3.9060497,1.362526556,3,1,0,1,2
0.47822555,-0.737672796,3,1,0,1,2
0.53131905,-0.632392591,3,1,0,1,2
2.42943015,0.887656724,3,1,0,1,2
2.41976265,0.883669457,3,1,0,1,2
0.8438787,-0.169746515,3,1,0,1,2
1.44894345,0.370834636,3,1,0,1,2
1.5776411,0.455930757,3,1,0,1,2
1.9208824,0.652784664,3,1,0,1,2
3.06042235,1.118552929,3,1,0,1,2
0.60269715,-0.506340447,3,1,0,1,2
1.18030865,0.165775972,3,1,0,1,2
4.54870165,1.514841841,3,1,0,1,2
0.5713113,-0.559821034,3,1,0,1,2
2.42177895,0.884502373,3,1,0,1,2
0.57575705,-0.552069495,3,1,0,1,2
4.5541846,1.516046503,3,1,0,1,2
0.4870196,-0.71945091,3,1,0,1,2
2.9975862,1.097807365,3,1,0,1,2
0.54973495,-0.598319026,3,1,0,1,2
0.3441138,-1.066782862,3,1,0,1,2
6.49683345,1.871314897,3,1,0,1,2
2.38755915,0.870271568,3,1,0,1,2
0.47550175,-0.743384717,3,1,0,1,2
2.0995772,0.741735991,3,1,0,1,2
0.12567205,-2.074079543,3,1,0,1,2
0.0821189,-2.499587082,3,1,0,1,2
0.916998,-0.086649988,3,1,0,1,2
1.35940605,0.307047876,3,1,0,1,2
2.5006161,0.916537142,3,1,0,1,2
0.98510915,-0.015002832,3,1,0,1,2
0.35349965,-1.039872784,3,1,0,1,2
0.0299959,-3.506694573,3,1,0,1,2
0.13314695,-2.016301873,3,1,0,1,2
0.43177955,-0.839840122,3,1,0,1,2
2.108887,0.74616032,3,1,0,1,2
2.09126905,0.737771083,3,1,0,1,2
1.5045266,0.408478297,3,1,0,1,2
0.69253335,-0.367398883,3,1,0,1,2
0.04371615,-3.13003768,3,1,0,1,2
1.59886775,0.469295722,3,1,0,1,2
0.3717345,-0.989575389,3,1,0,1,2
3.91613025,1.365103985,3,1,0,1,2
0.35723,-1.029375447,3,1,0,1,2
0.50043025,-0.692287051,3,1,0,1,2
0.0287992,-3.54740767,3,1,0,1,2
0.09565535,-2.347003652,3,1,0,1,2
0.6807729,-0.384526509,3,1,0,1,2
0.4865121,-0.720493506,3,1,0,1,2
1.03475755,0.034167148,3,1,0,1,2
4.6575965,1.538499543,3,1,0,1,2
2.38307695,0.868392489,3,1,0,1,2
0.3795229,-0.968840341,3,1,0,1,2
3.4968277,1.251856186,3,1,0,1,2
0.9073426,-0.097235171,3,1,0,1,2
0.9087363,-0.095700326,3,1,0,1,2
0.03539585,-3.341160697,3,1,0,1,2
0.1017462,-2.285273802,3,1,0,1,2
3.84494375,1.346758973,3,1,0,1,2
1.54128925,0.432619242,3,1,0,1,2
0.0432812,-3.140036918,3,1,0,1,2
2.8909028,1.061568841,3,1,0,1,2
0.48605045,-0.721442854,3,1,0,1,2
0.4293135,-0.845567858,3,1,0,1,2
2.5865705,0.950332867,3,1,0,1,2
0.46645805,-0.762587188,3,1,0,1,2
0.57113075,-0.560137111,3,1,0,1,2
1.03734105,0.036660757,3,1,0,1,2
0.3857426,-0.952584971,3,1,0,1,2
